APAAC9,APAAC5,_PolarityD2001,413,T,652,APAAC16,_SecondaryStrD2001,_HydrophobicityD3050,_ChargeC3,_SolventAccessibilityC2,GearyAuto_Hydrophobicity2,PAAC23,_PolarityC1,_SolventAccessibilityD1025,R,S,_SecondaryStrC1,class_label
-1.216279504,-1.082762719,-0.825438317,4.118506207,1.298642023,3.443740128,1.36708215,-1.026531942,0.574568308,-0.706688319,0.08221084,-0.334158677,0.050315508,-1.552989203,0.075671166,-1.039594213,1.239473411,-1.081476684,1
-0.777879048,-0.527422398,4.528044648,-0.549195903,1.13806825,-0.855337275,0.377531421,2.605485922,1.078811102,-2.6138401,-1.724057716,-1.239601425,2.190412102,-1.252452196,-1.394829659,-0.949171435,0.650815612,-1.310866348,1
-0.949800796,-0.946671415,-0.731979431,-0.104652845,1.144726187,-0.855337275,0.079258537,-0.140369508,0.839064421,0.106196047,0.428092053,-1.601778524,0.719283249,-0.264973461,-0.046980178,-1.089597592,0.329933534,-0.770162141,1
-0.926161555,1.179206456,-0.403886087,0.339890213,2.324747599,-0.855337275,0.840919652,0.327674031,1.114536371,-1.331983984,-0.840139061,-0.732553486,1.083545187,-0.136171886,-0.090384943,-0.581646598,0.588733532,-2.523354569,1
-0.934757643,-0.811677622,0.08907663,-0.104652845,0.955954092,-0.3179526,0.346334512,-0.428996357,1.076443765,-0.456570052,-0.206023504,-0.804988906,1.015448057,-0.586977396,-2.193214276,0.703440246,0.571904052,-0.32776779,1
-0.681889406,-1.066300062,-0.824121995,6.563493027,3.062995312,1.294201426,0.470741697,-1.072556223,0.874144053,-1.144395285,-1.205235897,0.209106972,0.759679852,-0.908981332,1.305144016,-0.880416789,0.53413122,-2.080960218,1
-0.144633946,0.687521744,-0.488459798,-0.104652845,0.210656798,-0.855337275,1.929387409,-0.739465238,-0.020494145,-1.644631817,-0.590335963,-0.104779847,1.228742119,0.035563546,-0.694763412,-0.558728383,1.26602659,-2.212040026,1
-0.025005063,-0.798507496,-0.395000911,-0.549195903,-1.322235271,0.219432076,0.566234674,-0.518704702,-0.596187476,0.293784747,0.178288955,0.015945853,-0.309098838,0.722505275,0.710959089,-0.203704391,0.330307522,-0.131148078,1
-1.134616674,-1.002644452,-0.75402783,0.117618684,0.64694749,0.756816751,-0.459839265,-0.443037663,-0.014037771,1.262993029,0.946913872,-1.408617405,0.888718143,-0.844580545,-0.652673943,-0.91416907,0.107410414,-0.458847598,1
-1.573733471,-1.137638245,0.206887479,-0.549195903,0.785197592,-0.3179526,2.452125856,-0.671598925,0.352684261,-0.112657436,0.639463905,0.329832672,0.270303864,-1.230985267,-0.38862829,-1.061262344,1.734260113,-0.622697357,1
-0.199075832,0.968484437,-0.29298593,-0.326924374,1.606082052,-0.855337275,1.280339526,3.727230271,-2.398161405,-0.519099619,-1.089942159,-3.448881731,1.617703694,-0.479642751,-1.770675465,-1.721306948,0.90961561,-1.17978654,1
0.189897121,-1.137638245,-0.717499885,0.562161742,1.149425907,2.368970777,-0.372716191,-0.597492031,-0.63772348,2.107142178,1.52338256,-0.635972926,1.026066592,-1.767658493,0.537011205,-1.296278226,0.242420239,-0.786547117,1
-1.407542448,-1.137638245,0.97134168,0.117618684,3.100984717,0.219432076,3.536028212,-0.509343831,0.491926723,-0.988071368,-0.647982831,0.257397252,-0.112425092,-1.660323848,-0.73422229,-1.335864234,3.058179178,-1.163401564,1
0.110383313,-0.247557216,-0.626673644,2.118062446,0.263528651,0.219432076,1.08402727,-1.067095715,1.252487558,0.387579097,-0.340532864,-0.527319796,0.645876851,-0.28644039,0.174647183,-0.822079513,0.635482086,-2.146500122,1
-1.035761669,-0.863260616,-0.747117138,-0.104652845,0.131936485,0.756816751,-0.703327334,-0.52416521,0.347949587,1.544376079,1.312010708,-0.889496895,0.545693276,-0.608444325,-1.647695298,-0.91416907,-0.10688496,-0.475232574,1
-1.262841644,-1.069592593,-0.140621619,1.895790917,1.263394122,1.831586102,-0.458317465,-1.026531942,1.470067355,0.262519964,0.985345118,-0.660118066,0.505989187,-1.746191564,-0.624395081,-1.078763526,-0.356335247,-0.213072958,1
-1.335908387,-1.137638245,-0.470031285,0.117618684,0.98728556,0.219432076,-0.984479963,0.659204872,-0.596833113,0.825286063,2.407301215,1.30771084,0.151191596,-2.669269512,0.771462701,-0.586646936,-0.360075132,3.40800673,1
-1.573733471,-0.046712791,2.564091713,0.339890213,2.424616653,-0.855337275,0.088389339,0.368237805,-1.745422013,-1.269454418,-1.070726536,-1.287891705,0.836779654,-1.059249835,-1.785472544,-1.752975755,0.111150298,-1.163401564,1
-0.060822094,-0.971914157,-0.366699981,1.228976329,0.465224976,3.443740128,0.469219897,-0.931363089,0.517321793,0.41884388,1.350441954,0.390195522,-0.483150486,-0.350841177,-0.002260117,-0.749991308,0.60818093,0.507865984,1
-0.379593667,-1.137638245,-0.768836457,0.784433271,0.775798152,1.294201426,0.483296551,-0.862716703,1.025007987,-1.363248768,0.293582692,-0.177215267,0.218365375,-0.672845112,-0.62012037,-0.732073431,0.407723128,-1.441946156,1
-1.573733471,-1.137638245,-0.650367446,0.117618684,1.756081455,1.294201426,0.837876051,-0.360349971,1.527529082,-0.018863086,0.639463905,1.50087196,-1.045702034,-1.102183693,0.214763708,-0.651651329,0.677368791,-0.32776779,1
-0.471285266,-0.949963947,-0.519722453,3.45169162,1.37657905,0.219432076,1.434041369,-0.868957284,0.118533105,-0.550364402,-0.936217176,-0.346231246,1.376709104,-0.672845112,0.819799826,-0.776243082,1.154952024,-1.966265386,1
-1.413273173,-0.891795889,1.66273999,-0.104652845,0.303867916,-0.855337275,0.87135566,-0.271421699,-2.728727744,-1.269454418,0.908482626,0.197034403,0.114950072,-2.926872661,0.878659318,-1.089180897,1.001616765,1.507349518,1
-0.856676516,-0.039030218,-0.485168992,-0.326924374,1.781538273,-0.855337275,0.105129144,0.145917124,-1.271093751,-0.206451786,-0.7056297,-1.951883054,0.604095222,-0.200572674,-0.911787237,-0.311211656,0.451105787,-0.786547117,1
-0.951949818,0.386803863,-0.287720641,-0.549195903,-1.20278405,-0.3179526,-1.181933569,-0.096685444,0.454694968,-2.113603567,-2.588760748,-0.370376386,2.36561794,4.629486358,1.358742324,-0.950004825,0.033360704,-0.557157453,1
0.337463288,-0.811677622,-0.53453108,-0.326924374,-0.118715258,-0.855337275,-0.2285256,1.11788754,-0.352136546,0.356314314,0.312798315,0.438485802,-0.509696825,-0.522576609,-1.201481161,-1.14210114,0.026254923,0.786410576,1
0.005797583,-0.478034425,-0.318654216,0.117618684,0.212223372,-0.3179526,0.908259321,-0.325246706,-0.290585782,-0.612893969,-0.148376635,-1.348254555,0.936270715,-0.093238028,-0.378434746,-0.444137306,0.628002317,-0.344152766,1
-0.924012534,-0.474741893,1.001617093,0.339890213,0.180108617,-0.3179526,0.617595439,0.119394657,-1.54570485,-0.737953102,-0.936217176,-2.048463613,1.755282981,0.314633623,-0.761185856,-0.297877422,0.934672835,-0.770162141,1
-1.261408963,-1.137638245,-0.499319457,-0.104652845,0.451125815,-0.855337275,-1.04459108,0.095212407,-0.677752998,1.262993029,3.022201149,-0.744626056,0.455435724,-3.270343525,-1.358987846,0.078814701,0.143313304,3.965095912,1
-0.132456155,-1.137638245,-0.785619566,1.0067048,-0.340777038,-0.3179526,0.104748694,-0.499202888,-0.208374622,-1.206924851,-0.993864044,-0.998150025,0.36333147,-1.488588415,0.231533731,1.068881608,-0.064998255,0.065471633,1
0.06023947,-1.137638245,-0.194590835,-0.549195903,-0.056835609,0.219432076,0.23257993,-0.652877183,-0.952364097,-0.268981352,0.216720201,1.71817822,-0.734301937,-0.629911254,0.083891765,-0.42121909,-0.036949123,-0.802932093,1
-1.224875592,-0.46925434,-0.178136806,3.673963149,1.489763978,-0.855337275,1.244957666,-0.668478634,1.298112599,-0.081392653,0.062995217,-1.444835114,1.504131531,-0.415241964,0.561673004,-1.77839414,0.87146879,-2.310349882,1
-1.196221967,-0.848992979,-0.516760728,-0.104652845,0.075931486,0.219432076,-0.718545338,-0.907180839,-0.843897017,1.388052163,1.312010708,-0.961932315,0.699431204,-0.479642751,-1.508273931,-0.809578668,-0.167845075,-0.573542429,1
